"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks if the Google home page loads with the correct title.","461","Verify Google Search Page Title","DemoSuite","Fri May 08 17:46:42 UTC 2026","passed","Fri May 08 17:46:43 UTC 2026","com.githubactions.Demo","DemoTests","com.githubactions.Demo","demoTest1"
"","77","Verify Example.com Page Title","DemoSuite","Fri May 08 17:46:43 UTC 2026","passed","Fri May 08 17:46:43 UTC 2026","com.githubactions.Demo","DemoTests","com.githubactions.Demo","demoTest2"
